DATE,TOTAL_CASES,NEW_CASES,TOTAL_CONFIRMED,NEW_CONFIRMED,TOTAL_PROBABLE,NEW_PROBABLE,POS_TESTS,NEG_TESTS,TOTAL_TESTS,NEW_TESTS,NEW_DEATHS,TOTAL_DEATHS,NEW_ACTIVE,TOTAL_ACTIVE,NEW_HOSP,TOTAL_HOSP
04-03-2020,0,,,,,,,,,,,,,,,
05-03-2020,1,1,,,,,,,,,,,,,,
06-03-2020,1,0,,,,,,,,,,,,,,
07-03-2020,1,0,,,,,,,,,,,,,,
08-03-2020,3,2,,,,,,,,,,,,,,
09-03-2020,4,1,,,,,,,,,,,,,,
10-03-2020,7,3,,,,,,,,,,,,,,
11-03-2020,9,2,,,,,,,,,,,,,,
12-03-2020,18,9,,,,,,,,,,,,,,
13-03-2020,26,8,,,,,,,,,,,,,,
14-03-2020,32,6,,,,,,,,,,,,,,
15-03-2020,39,7,,,,,,,,,,,,,,
16-03-2020,52,13,,,,,,,,,,,,,,
17-03-2020,73,21,,,,,,,,,,,,,,
18-03-2020,98,25,,,,,,,,,,,,,,
19-03-2020,154,56,,,,,,,,,,,,,,
20-03-2020,228,74,,,,,,,,,,0,,,,
21-03-2020,371,143,,,,,,,,,1,1,,,,
22-03-2020,505,134,,,,,,,,,1,2,,,,
23-03-2020,615,110,,,,,,,,,0,2,,,,
24-03-2020,667,52,,,,,667,10477,11144,,0,2,,,,
25-03-2020,784,117,,,,,784,11012,11796,652,1,3,,781,,53
26-03-2020,957,173,,,,,957,13952,14909,3113,0,3,173,954,23,76
27-03-2020,1203,246,,,,,1203,14888,16091,1182,3,6,243,1197,27,103
28-03-2020,1373,170,,,,,1373,16965,18338,2247,0,6,170,1367,15,118
29-03-2020,1537,164,,,,,1537,19037,20574,2236,1,7,163,1530,15,133
30-03-2020,1834,297,,,,,1834,21470,23304,2730,6,13,182,1712,15,148
31-03-2020,2239,405,,,,,2239,25121,27360,4056,10,23,383,2095,27,175
01-04-2020,2683,444,,,,,2683,29769,32452,5092,1,24,427,2522,25,200
02-04-2020,2845,162,,,,,2845,31766,34611,2159,8,32,71,2593,63,263
03-04-2020,3067,222,,,,,3067,34772,37839,3228,5,37,189,2782,30,293
04-04-2020,3321,254,,,,,3321,38070,41391,3552,6,43,221,3003,18,311
05-04-2020,3633,312,,,,,3633,41667,45300,3909,1,44,291,3294,17,328
06-04-2020,3802,169,,,,,3802,43548,47350,2050,21,65,87,3381,24,352
07-04-2020,4138,336,,,,,4138,48736,52874,5524,7,72,219,3600,56,408
08-04-2020,4362,224,,,,,4362,52256,56618,3744,7,79,91,3691,41,449
09-04-2020,4634,272,,,,,4634,55215,59849,3231,15,94,-72,3619,56,505
10-04-2020,4862,228,,,,,4862,57937,62799,2950,4,98,0,3619,31,536
11-04-2020,5114,252,,,,,5114,61714,66828,4029,3,101,8,3627,20,556
12-04-2020,5308,194,,,,,5308,65369,70747,3919,0,101,76,3703,11,567
13-04-2020,5610,302,,,,,5610,70585,76195,5448,8,109,127,3830,12,579
14-04-2020,5823,213,,,,,5823,73008,78831,2636,15,124,-100,3730,54,633
15-04-2020,6079,256,,,,,6079,74817,80896,2065,11,135,18,3748,30,663
16-04-2020,6262,183,,,,,6262,78787,85049,4153,6,141,-413,3335,28,691
17-04-2020,6589,327,,,,,6589,80684,87273,2224,1,142,95,3430,20,711
18-04-2020,6762,173,,,,,6762,83824,90586,3313,3,145,-47,3383,8,719
19-04-2020,7070,308,,,,,7070,90028,97098,6512,3,148,195,3578,5,724
20-04-2020,7238,168,,,,,7238,93451,100689,3591,4,152,-67,3511,6,730
